name,project,status,dueDate,description,executor
schedule annual health check,health,IN_REVIEW,2025-06-21,Book a general health screening,admin@organify.com
meditate 10 minutes daily,health,IN_REVIEW,2025-06-21,Build a habit of daily meditation,admin@organify.com
take English grammar lesson,english-lessons,DONE,2025-06-21,Focus on verb tenses,admin@organify.com
morning stretching routine,workout,IN_PROGRESS,2025-06-22,Do a 10-minute stretch every morning,admin@organify.com
practice speaking with tutor,english-lessons,IN_PROGRESS,2025-06-22,30-minute Zoom session,admin@organify.com
watch English documentary,english-lessons,IN_PROGRESS,2025-06-22,Choose topic: science or history,admin@organify.com
join local gym,workout,TODO,2025-06-23,Find and sign up for a nearby gym,admin@organify.com
clean kitchen,household,TODO,2025-06-23,Deep clean all surfaces and fridge,admin@organify.com
build MVP for new app,pet-projects,BACKLOG,2025-08-21,Create the core functionality for the MVP,admin@organify.com
design UI for landing page,pet-projects,BACKLOG,2025-08-11,Design the main layout and visual elements,designer@organify.com
set up authentication,pet-projects,BACKLOG,2025-08-14,Implement login and registration features,admin@organify.com
